,0,1,2
Insurance,0.00016949911412727145,0.0015534423886286032,0.00042696817465700675
Tobacco,0.0,7.940919558484873e-05,9.728388789653318e-05
Business Supplies and Equipment,0.06673787761524341,0.12987208502077874,0.32153405881891955
Electrical/Electronic Manufacturing,0.013329666182688065,0.013782458508695307,0.008271832801424668
Packaging and Containers,0.0025552790978809413,0.007022750734535059,0.002334813309516796
Education Management,0.0052608687309313494,0.0033484210804944547,0.0012511788915581907
Consumer Goods,6.71600263523151e-05,8.271791206755075e-06,9.728388789653318e-05
Marketing and Advertising,8.954670180308681e-05,0.0,0.0
Utilities,0.0,0.0008519944942957727,0.0
Construction,0.003712990028335135,0.007242780380634744,0.0070071422587697375
Entertainment,0.0023250161503872895,0.0015054659996294238,1.6213981316088863e-05
Renewables & Environment,0.021974121003178908,0.01582393657852246,0.004853385073949267
Building Materials,0.001989216018625714,0.0017453479446253208,0.005955935803443309
Government Administration,0.020490204230442042,0.008629132586886894,0.019521633504570993
Pharmaceuticals,0.005510320257382806,0.0030241668651896556,0.01528708205085245
Commercial Real Estate,0.003313227966714212,0.0005145054130601657,0.000356707588953955
Automotive,0.0018868769308507576,0.0185006882130284,0.030371489335253788
Research,0.008644454820490843,0.000870192434950634,0.0010836344179586056
Apparel & Fashion,0.014110001726972106,0.01617135180920617,0.019732415261680146
Information Technology and Services,0.024887586908272197,0.02364739670187141,0.02357242650337386
Machinery,0.00511375629225485,0.0032226898541517775,0.008715014957397764
Oil & Energy,0.0,0.00014392916699753833,0.0004431821559730956
Financial Services,0.000869882246087129,0.0013466476084597263,0.0014187233651577755
Retail,0.12580352174385806,0.5358201646417322,0.31886415656220357
Banking,0.02150719891520567,0.04364693348156383,0.027034111514358833
Medical Devices,0.011759400804641077,0.0004168982768204558,0.0004620984675085326
Hospital & Health Care,0.020490204230442042,0.01452030228433786,0.07100372651337249
Defense & Space,0.002133130360809246,0.0052211546097038035,0.0008809596515074949
Chemicals,0.003223681264911125,0.0019389078588633896,0.00047561011860527334
Biotechnology,0.01049615268991896,0.0017420392281426189,0.0005945126482565917
Computer Software,0.011749806515162175,0.006448688424786257,0.012260472205182529
Internet,0.49507173330433724,0.08665363032372482,0.040005296567229925
Broadcast Media,0.014455396148212583,0.006753090341194844,0.01037965037251622
Investment Banking,0.057994281803470576,0.002316101537891421,0.00809618133716704
Outsourcing/Offshoring,0.0,6.6174329654040605e-06,2.702330219348144e-06
Wireless,7.675431583121726e-05,0.0005277402789909738,0.0026969255589094476
Semiconductors,5.756573687341294e-05,0.0020365149951030994,0.00019997243623176266
Real Estate,0.002964635448980767,0.001983575531379867,0.003626527154365209
Airlines/Aviation,0.002024395080048355,0.0006749781624712141,0.0010755274273005612
Logistics and Supply Chain,0.017154589588277057,0.006000357341380132,0.01335221361379918
Restaurants,0.0,0.02438524047751396,0.01664094949074587
